"Date","UPRO","SSO","UWM","QLD","DDM","FAS","SPXL","MIDU","IXN","IXJ","VGT","IGV","IYW","XLK","FDN","VIS","IYJ","XLI","VHT","XBI","IBB","IYH","XLV","FBT","FXH","QCLN","IYK","VCR","XHB","ITB","IYC","XLY","ARGT","VBK","VIOG","VIOO","IJT","IJR","VOT","IVOG","IVOO","PDP","IJK","IJH","IWP","IWR","MDY","VIG","VONG","VONE","MGK","MGC","VUG","VOOG","SCHD","SCHG","SCHX","PRF","PKW","IVW","IWF","IWB","RPG","QQQ","OEF","VOO","SPY","IVV","RSP","DIA","VTHR","VTI","SCHB","IWV","ITOT"
2013-04-15,4.74,8.95375,13.015,3.783125,14.681667,13.335,9.43,12.13,11.413333,37.685001,70.970001,66.75,17.83,29.870001,42.169998,76.900002,39.424999,40.490002,84.190002,33.363335,54.893333,98.279999,47.060001,54.150002,37.98,11,84.449997,84.559998,28.17,22.030001,24.469999,52.98,16.440001,95.650002,38.610001,37.529999,44.755001,41.724998,74.32,38,37.235001,30.43,30.942499,111,34.150002,31.0725,202.399994,65.080002,18.15,71.239998,59.610001,53.240002,76.550003,73.480003,31.629999,18.325001,18.485001,69.239998,33.75,20.424999,70.599998,86.18,54.619999,68.559998,70.150002,142.139999,155.119995,155.929993,58.650002,145.809998,71.470001,79.75,18.715,92.010002,35.360001
2013-04-16,4.936667,9.20875,13.46,3.884375,15.006667,13.9475,9.825,12.7275,11.578333,38.220001,72.010002,67.849998,18.092501,30.24,42.75,78.029999,40.060001,41.040001,85.459999,33.93,55.98,99.839996,47.740002,55.150002,38.549999,11.26,86.120003,85.690002,28.74,22.540001,24.817499,53.740002,16.459999,97.290001,38.875,38.044998,45.564999,42.400002,75.800003,38.535,37.84,30.99,31.459999,112.75,34.724998,31.567499,205.5,65.989998,18.32,72.269997,60.509998,53.880001,77.760002,74.260002,32.029999,18.594999,18.745001,70.150002,34.259998,20.75,71.660004,87.480003,55.470001,69.470001,71.120003,144.139999,157.410004,158.199997,59.529999,147.360001,72.190002,80.93,19,93.419998,35.860001
2013-04-17,4.722917,8.93875,12.97,3.7325,14.721667,13.1875,9.3775,12.105,11.35,37.759998,70.400002,66.68,17.647499,29.620001,42.150002,76.760002,39.395,40.360001,85.089996,34.060001,55.706669,99.370003,47.52,54.700001,38.209999,10.91,85.099998,84.790001,28.379999,22.27,24.577499,53.189999,16.1,95.739998,38.395,37.389999,44.82,41.685001,74.620003,37.935001,37.195,30.610001,30.942499,110.839996,34.205002,31.077499,202.350006,65.349998,18.110001,71.209999,59.5,53.099998,76.529999,73.269997,31.780001,18.295,18.475,69.129997,33.75,20.4475,70.650002,86.150002,54.549999,68.110001,70.099998,142.020004,155.110001,155.820007,58.549999,145.949997,71,79.720001,18.715,92.059998,35.325001
2013-04-18,4.635833,8.825,12.9325,3.6275,14.573333,12.865,9.23,11.88,11.228333,37.555,69.370003,65.889999,17.405001,29.309999,41.18,76.360001,39.16,40.18,84.019997,33.740002,54.983334,98.120003,46.939999,53.869999,37.77,10.76,84.910004,83.849998,28.02,21.76,24.2675,52.610001,16.040001,94.949997,37.924999,37.290001,44.415001,41.43,74.07,37.580002,37.005001,30.440001,30.737499,110.290001,34.009998,30.9275,201,65.150002,17.975,70.760002,58.919998,52.720001,75.75,72.57,31.709999,18.125,18.360001,68.75,33.450001,20.2675,70.089996,85.650002,53.939999,67.169998,69.660004,140.860001,154.139999,154.919998,58.27,145.179993,71.099998,79.220001,18.584999,91.480003,35.110001
2013-04-19,4.755,8.97,13.1425,3.728125,14.581667,13.355,9.445,12.4225,11.218333,37.965,69.279999,66.150002,17.365,29.35,41.439999,76.68,39.334999,40.380001,85.589996,35.293331,57.526669,100.110001,47.599998,57.139999,38.41,10.84,86.220001,84.870003,28.700001,22.290001,24.577499,53.240002,16.200001,95.910004,38.474998,37.77,45.005001,41.904999,75.190002,38.380001,37.57,30.879999,31.352501,111.82,34.419998,31.24,204.309998,65.449997,18.110001,71.330002,59.169998,53.150002,76.290001,73.330002,32.099998,18.32,18.535,69.410004,33.889999,20.475,70.709999,86.440002,54.720001,68.089996,70.18,142.360001,155.479996,156.169998,58.799999,145.139999,71.470001,79.980003,18.77,92.230003,35.439999
2013-04-22,4.824583,9.06625,13.19,3.8,14.63,13.39,9.5725,12.515,11.298333,38.105,69.870003,66.510002,17.545,29.58,41.630001,76.709999,39.400002,40.43,85.989998,35.506668,57.990002,100.580002,47.889999,56.919998,38.419998,11.12,86.529999,85.230003,28.91,22.57,24.647499,53.470001,16.48,96.260002,38.529999,37.605,45.095001,41.965,75.459999,38.549999,37.695,31,31.485001,112.239998,34.544998,31.3575,204.759995,65.639999,18.2775,71.760002,59.57,53.389999,76.709999,73.889999,32.27,18.440001,18.615,69.610001,34.02,20.615,71.199997,86.809998,55.09,68.790001,70.580002,143,156.169998,157,59.060001,145.320007,71.830002,80.32,18.860001,92.720001,35.595001
2013-04-23,4.969583,9.25125,13.6225,3.87375,14.931667,14.0125,9.89,12.9325,11.428333,38.389999,70.839996,67.269997,17.7675,29.9,42.700001,77.449997,39.785,40.720001,86.589996,35.743332,58.259998,101.25,48.189999,57.5,38.75,11.46,87.489998,86.169998,29.65,23.43,24.875,54.009998,16.66,97.43,39.189999,38.275002,45.810001,42.630001,76.589996,38.889999,38.040001,31.26,31.84,113.459999,34.970001,31.7125,206.830002,66.260002,18.415001,72.400002,60.119999,53.98,77.519997,74.449997,32.540001,18.635,18.809999,70.379997,34.360001,20.8325,71.839996,87.709999,55.939999,69.449997,71.290001,144.520004,157.779999,158.600006,59.669998,146.800003,71.830002,81.190002,19.059999,93.699997,35.970001
2013-04-24,4.979167,9.275,13.7725,3.870625,14.858333,14.2725,9.915,13.075,11.495,38.084999,71.199997,67.730003,17.865,29.950001,42.580002,78.139999,40.154999,41.139999,85.209999,34.856667,56.556667,99.489998,47.360001,56.240002,38.459999,11.64,86.32,86.269997,29.98,23.700001,24.8125,54.049999,16.940001,97.669998,39.32,38.66,45.970001,42.900002,76.599998,39.014999,38.200001,31.27,31.862499,113.879997,34.970001,31.809999,207.690002,66.080002,18.4,72.599998,60.09,54.009998,77.540001,74.5,32.459999,18.65,18.825001,70.559998,34.240002,20.7775,71.739998,87.779999,55.889999,69.419998,71.199997,144.559998,157.880005,158.589996,59.950001,146.449997,72.75,81.309998,19.075001,93.730003,35.970001
2013-04-25,5.04125,9.34,13.95,3.911875,14.906667,14.465,10.0275,13.25,11.535,38.195,71.459999,67.440002,17.889999,30.049999,43.18,78.5,40.375,41.349998,85.580002,35.369999,57.713333,99.989998,47.549999,56.82,38.52,11.78,87.139999,87.220001,30.4,24.120001,24.99,54.509998,17.200001,98.43,39.794998,38.945,46.41,43.169998,77.190002,39.330002,38.555,31.559999,32.119999,114.400002,35.224998,31.997499,208.529999,66.379997,18.5175,73.080002,60.330002,54.16,77.910004,74.629997,32.509998,18.76,18.885,70.93,34.5,20.862499,72.169998,88.169998,56.52,69.790001,71.410004,145.199997,158.520004,159.339996,60.279999,146.759995,73.150002,81.639999,19.17,94.139999,36.154999
2013-04-26,5.009167,9.305,13.8175,3.89,14.931667,14.33,9.985,13.075,11.528333,38.150002,71.449997,67.589996,17.907499,30.040001,42.849998,78.400002,40.220001,41.23,85.540001,35.380001,57.709999,100.019997,47.540001,57.060001,38.599998,11.71,87.029999,86.900002,30.49,24.5,24.905001,54.27,17.1,98.269997,39.514999,38.650002,46.200001,42.935001,76.830002,39.18,38.244999,31.469999,31.975,113.940002,35.064999,31.852501,207.679993,66.160004,18.502501,72.68,60.23,54.150002,77.690002,74.620003,32.490002,18.725,18.870001,70.790001,34.389999,20.8225,72.019997,88,56.369999,69.57,71.400002,144.880005,158.240005,159,60.080002,146.880005,72.860001,81.489998,19.120001,94.019997,36.049999
2013-04-29,5.110417,9.4225,13.9925,3.960625,15.13,14.51,10.1675,13.375,11.686667,38.419998,72.470001,68.300003,18.2075,30.469999,42.970001,78.75,40.395,41.439999,85.860001,35.573334,57.823334,100.419998,47.689999,57.43,38.900002,11.92,87.43,87.190002,30.5,24.43,24.945,54.459999,17.280001,98.919998,39.744999,38.919998,46.474998,43.174999,77.300003,39.404999,38.5,31.610001,32.162498,114.790001,35.285,32.072498,209.190002,66.599998,18.622499,73.169998,60.740002,54.48,78.290001,75.07,32.689999,18.875,18.985001,71.290001,34.529999,20.975,72.529999,88.580002,56.560001,70.209999,71.870003,145.820007,159.300003,160.100006,60.419998,147.860001,73.300003,82.010002,19.254999,94.610001,36.310001
2013-04-30,5.144167,9.475,14.1625,4.015625,15.163333,14.7125,10.235,13.7125,11.82,38.255001,73.290001,68.190002,18.407499,30.799999,43.34,78.900002,40.544998,41.450001,85.279999,35.27,57.436668,99.629997,47.330002,57.419998,39.009998,11.98,87.489998,87.43,30.290001,24.26,24.9825,54.610001,17.34,99.529999,39.950001,39.095001,46.68,43.459999,77.580002,39.540001,38.764999,31.75,32.412498,115.760002,35.445,32.2425,210.970001,66.800003,18.700001,73.360001,61.110001,54.630001,78.760002,75.18,32.740002,18.940001,19.045,71.43,34.630001,21.012501,72.879997,88.870003,56.610001,70.720001,71.949997,146.279999,159.679993,160.449997,60.650002,148.020004,73.529999,82.260002,19.309999,94.879997,36.424999
